"","475550850_475","475550850_550","475550850_850","550660850_550","550660850_660","550660850_850","725","GRVI","NDVI","NDRE","NDI","RTVI"
"W1-001",2584,4332,7993,4275,1927,8823,26574,0.278885081706552,0.557868005443615,-0.000944102847942066,0.590749458502271,-15.701773602003
"W1-002",5830.5,7834,8417,7546,4181.5,9407,38100,0.199918577616594,0.288951035415523,-0.137999327218821,0.434144671004921,-128.232556884325
"W1-003",4723,5896,8502,5708,3119,9207,31929,0.198812652167624,0.372395215418784,-0.0774173088904645,0.479364063276541,-70.3642292197719
"W1-004",2729,4744,8163,4686,2031,9005,28905,0.29539320494055,0.565555202600002,-0.0239531931274546,0.59461568541569,-30.562761914855
"W1-005",1802,3884,8148,3860,1452,8851,28026,0.342149906651514,0.679572519714173,-0.0117569560160271,0.679130001275318,-26.7150240900069
"W1-006",3979,5866,8064,5633,2985,8826,30593,0.220322749999901,0.383319924862572,-0.0657760801794871,0.49232113797711,-59.7486714323209
"W1-007",2961,4766,8322,4647,2116,9124,27850,0.273683549940083,0.53302556754112,-0.0254372186724291,0.566726288808158,-33.0689813675347
"W1-008",2094,3883,8599,3689,1590,9230,26728,0.294086470215586,0.660268708975601,0.0199150643411986,0.657040698083077,-8.17883201661054
"W1-009",4660,6011,8418,5481,2930,9107,29839,0.215275806417557,0.39058838630257,-0.0395504447538997,0.480926910171622,-45.2207621908401
"W1-010",3263,4783,8289.5,4721.5,2386.5,8997.5,27657,0.244054787872069,0.502819007728663,-0.0271021290363172,0.550920194581348,-32.9732052034549
"W1-011",2383.5,4038.5,8282,3970,1749,9145,26518.5,0.288779859417885,0.612517670854889,-0.00201255914023539,0.626562276664975,-18.7485033128601
"W1-012",2530,4242.5,7942.5,4266.5,1959.5,8931,26312.5,0.273820843379992,0.588288999895997,0.00230711488894743,0.596381599698022,-13.9979834128404
"W1-013",2381.5,4301,8305,4207,1726,9268,29158,0.306040726042541,0.631346785400844,-0.022800532604682,0.65334511398929,-34.7235601759784
"W1-014",4268,6191,8441,5883.5,3170.5,9353,33715,0.207198495125348,0.403497972913526,-0.0782386566281864,0.50709856100642,-76.3536199602443
"W1-015",3245,5066,8472.5,4832,2243.5,9468.5,32025.5,0.278329538645716,0.543460755228999,-0.0669902063732409,0.601931857632705,-66.4136015598479
"W1-016",1974,3805,8019,3650,1465,8679,26263,0.328753491305696,0.667480636668709,0.0195691331231507,0.663526620626734,-6.30022997440489
"W1-017",1974,3856,7653,3723,1371,8315,25315,0.356732768923993,0.673182059410723,-0.00339169050153985,0.673643990159953,-16.0819679796341
"W1-018",3261,4889,8069,4744,2291,8924,28320,0.256000287379713,0.505733639326999,-0.0278753376390642,0.567316691294843,-34.4859045993261
"W1-019",4767,6288,8681,6142,3322,9505,32393,0.199242373172228,0.385242191832176,-0.0505896853901149,0.458877543860087,-53.4845825124796
"W1-020",4151,5959,8503,5759,2978,9271,32239,0.227730455358036,0.425192286778591,-0.0684834702452136,0.506654337627747,-67.9297444196504
"W1-021",3635,5418,8201,5099,2294,9016,29586,0.294193433945001,0.512667633368039,-0.0560827916587014,0.580102753034019,-53.3801385853131
"W1-022",4595.5,5886,8102,5597,2805.5,8832,32530.5,0.235791028418453,0.3901379341832,-0.113597893040128,0.517026312593974,-96.992299487637
"W1-023",2386,3837,6911,3806,1725,7699,23515,0.27547688293549,0.552539789956975,-0.013974402800815,0.580431398347759,-19.7002848690411
"W1-024",3215,4632,7793.5,4489.5,2199,8609,26111.5,0.252465571694172,0.509960158269122,0.00339605096805746,0.548974394086458,-13.9702789212693
"W1-025",2901.5,4389.5,7593.5,4274,1995,8221.5,25928,0.268783857050388,0.530543972664385,-0.0394027838402255,0.581023466754581,-36.2612467109864
"W1-026",4296,5636,7473,5422,2659,8340,27866,0.245246299467525,0.391065260275685,-0.0577382011393052,0.48643604808868,-49.7070444044563
"W1-027",2751.5,4160.5,7733,4050.5,1824.5,8486.5,25255,0.285205443251794,0.567003393503635,0.002133348608637,0.587775623406432,-10.7067476134069
"W1-028",2294.5,4307.5,8017.5,4271,1739.5,8812,26250.5,0.329311174992996,0.613583597070796,0.0129825483229074,0.623830068509728,-8.76383798163261
"W1-029",2075,3357,7872,3367,1552,8522,21755,0.257834524903775,0.629684370962549,0.0901743443310747,0.585431725134666,35.6513549857163
"W1-030",2482,4233,7701,4120,1807,8305,24729,0.296720465853146,0.5920111025454,0.0261815658241255,0.59807617151287,0.210013187888669
"W1-031",2390,4166,7836,4041,1773,8600,25731,0.289857676693963,0.595322340195718,0.0162333938241204,0.598049286550765,-6.13634614358298
"W1-032",3230.5,5092,8051,4932,2484.5,8717.5,27958,0.242058383676646,0.475653922921901,-0.0116704089147376,0.529833216516842,-24.0647456804852
"W1-033",2640,4376,7560,4287,2008,8371,25865,0.269597837086807,0.54582340333866,0.00137079519455094,0.563278750429454,-14.9886509723107
"W1-034",2228.5,4396,7687,4318.5,1656,8526,26791,0.34440554008734,0.620708873594514,0.00265815504518557,0.63308320730488,-16.0792967352567
"W1-035",5436,7814,7898,7477,3844,8800,33474.5,0.228164828153765,0.274030709195934,-0.0971230865398075,0.409087332847647,-83.8004992479966
"W1-036",6299.5,8599.5,7040.5,7455.5,4002.5,7280.5,41772,0.177589766758118,0.172484437092638,-0.196806506796945,0.406748241205544,-174.598097728062
"W1-037",2246.5,4004.5,7698,3943.5,1744,8483.5,24475.5,0.29230421007245,0.599832665068608,0.0355330545561125,0.59673898765237,5.86338916649348
"W1-038",2779,4682,7767,4636,1952,8674,27116,0.311292641803977,0.555739160660598,0.000122758242802529,0.585963539934069,-14.7239315339452
"W1-039",3991,5892,8142,5769,2856,9049,28998,0.236927327936488,0.424724268465675,-0.00234740979120438,0.46564486692179,-14.7461064037237
"W1-040",4380,5717,8036,5626,2955,8817,27018,0.221027037898559,0.380601989661198,0.00528526716646322,0.450329762331852,-8.65990498178943
"W1-041",5287,7076,8251,6916.5,3855.5,9164.5,30173.5,0.189533488670874,0.316205842102269,-0.0103405211843963,0.380007773697507,-20.1017880345831
"W1-042",3893,5344,7990,5306,2823,8773,26216,0.219706106098435,0.414268151904729,0.0287494985301287,0.433531563310781,3.47025557443507
