ID,year,place,sowing,varietyID,variety,block,plot,ind,PlantHeight_20190725_cm,PlantHeight_20190727_cm,PlantHeight_20190729_cm,PlantHeight_20190801_cm,PlantHeight_20190805_cm,PlantHeight_20190807_cm,PlantHeight_20190809_cm,PlantHeight_20190811_cm,PlantHeight_20190813_cm,PlantHeight_20190816_cm,PlantHeight_20190818_cm,PlantHeight_20190820_cm,PlantHeight_20190822_cm,PlantHeight_20190824_cm,PlantHeight_20190826_cm,PlantHeight_20190829_cm,PlantHeight_20190831_cm,PlantHeight_20190903_cm,PlantHeight_20190905_cm
,2019,Tottori,Jul,125,GmWMC125,W1,52,1,8,9,12,14,20,20,18,22,21,24,28,34,38,41,44,44,52,58,60
,2019,Tottori,Jul,125,GmWMC125,W1,52,2,10,10,12,14,17,15,22,22,23,26,30,35,37,37,43,51,60,58,62
,2019,Tottori,Jul,125,GmWMC125,W1,52,3,9,12,14,18,18,14,20,21,28,28,31,34,39,41,46,50,59,65,61
,2019,Tottori,Jul,125,GmWMC125,W1,52,4,10,11,13,13,17,20,19,21,24,24,34,32,35,41,42,46,55,64,61
,2019,Tottori,Jul,160,GmWMC160,W1,75,1,7,7,8,10,14,11,13,16,16,18,20,21,23,24,32,28,32,35,38
,2019,Tottori,Jul,160,GmWMC160,W1,75,2,7,8,9,10,13,13,15,16,16,19,17,18,19,23,25,31,33,36,36
,2019,Tottori,Jul,160,GmWMC160,W1,75,3,7,8,7,11,12,12,14,15,13,17,20,22,25,27,26,32,35,47,41
,2019,Tottori,Jul,160,GmWMC160,W1,75,4,7,8,8,11,12,11,17,13,13,16,18,21,21,22,25,26,34,39,36
,2019,Tottori,Jul,55,GmJMC055,W1,76,1,13,13,16,18,21,20,21,27,26,27,27,30,33,40,42,33,38,43,44
,2019,Tottori,Jul,55,GmJMC055,W1,76,2,12,13,16,16,20,21,24,24,28,28,29,28,33,40,41,34,36,35,42
,2019,Tottori,Jul,55,GmJMC055,W1,76,3,11,12,15,15,19,19,22,24,22,29,27,30,29,34,34,35,35,38,39
,2019,Tottori,Jul,55,GmJMC055,W1,76,4,12,15,20,18,20,21,24,26,27,27,26,28,35,38,37,32,34,40,43
,2019,Tottori,Jul,154,GmWMC154,W1,99,1,7,8,8,12,14,13,17,18,20,19,26,25,30,31,33,38,49,49,53
,2019,Tottori,Jul,154,GmWMC154,W1,99,2,9,8,11,11,14,12,19,18,17,22,22,27,27,33,35,37,44,51,56
