ID,year,place,sowing,varietyID,variety,block,plot,ind,FloweringDate
,2019,Tottori,Jul,152,GmWMC152,W1,1,0,2019/9/2
,2019,Tottori,Jul,8,GmJMC008,W1,2,0,2019/8/8
,2019,Tottori,Jul,227,Tachiutaka,W1,3,0,2019/8/15
,2019,Tottori,Jul,185,GmWMC185,W1,4,0,2019/9/8
,2019,Tottori,Jul,110,GmJMC110,W1,5,0,2019/8/21
,2019,Tottori,Jul,53,GmJMC053,W1,6,0,2019/8/17
,2019,Tottori,Jul,35,GmWMC035,W1,7,0,2019/8/14
,2019,Tottori,Jul,59,GmJMC059,W1,8,0,2019/8/21
,2019,Tottori,Jul,6,GmWMC006,W1,9,0,2019/8/10
,2019,Tottori,Jul,5,GmJMC005,W1,10,0,2019/8/8
,2019,Tottori,Jul,222,C1322,W1,11,0,2019/8/21
,2019,Tottori,Jul,68,GmJMC068,W1,12,0,2019/8/23
,2019,Tottori,Jul,17,GmJMC017,W1,13,0,2019/8/21
,2019,Tottori,Jul,52,GmJMC052,W1,14,0,2019/8/14
,2019,Tottori,Jul,36,GmWMC036,W1,15,0,2019/8/8
,2019,Tottori,Jul,77,GmJMC077,W1,16,0,2019/8/21
,2019,Tottori,Jul,164,GmWMC164,W1,17,0,2019/8/25
,2019,Tottori,Jul,72,GmWMC072,W1,18,0,2019/8/25
,2019,Tottori,Jul,86,GmWMC086,W1,19,0,2019/8/8
,2019,Tottori,Jul,9,GmJMC009,W1,20,0,2019/8/10
,2019,Tottori,Jul,148,GmWMC148,W1,21,0,2019/9/8
,2019,Tottori,Jul,94,GmWMC094,W1,22,0,2019/8/21
,2019,Tottori,Jul,135,GmWMC135,W1,23,0,2019/8/25
,2019,Tottori,Jul,25,GmJMC025,W1,24,0,2019/8/14
,2019,Tottori,Jul,61,GmJMC061,W1,25,0,2019/8/17
,2019,Tottori,Jul,133,GmJMC133,W1,26,0,2019/8/27
,2019,Tottori,Jul,111,GmJMC111,W1,27,0,2019/8/23
,2019,Tottori,Jul,138,GmWMC138,W1,28,0,2019/8/25
,2019,Tottori,Jul,34,GmJMC034,W1,29,0,2019/8/14
,2019,Tottori,Jul,823,GmWMC084,W1,30,0,2019/8/17
,2019,Tottori,Jul,24,GmWMC024,W1,31,0,2019/8/17
