plot,x.id,y.id,x.real,y.real
1,1,1,0,0
2,2,1,1.4,0
3,3,1,2.8,0
4,4,1,4.2,0
5,5,1,5.6,0
6,6,1,7,0
7,7,1,8.4,0
8,8,1,9.8,0
9,9,1,11.2,0
10,10,1,12.6,0
11,11,1,14,0
12,12,1,15.4,0
13,13,1,16.8,0
14,14,1,18.2,0
15,15,1,19.6,0
16,16,1,21,0
17,17,1,22.4,0
18,18,1,23.8,0
19,19,1,25.2,0
20,20,1,26.6,0
21,21,1,28,0
22,22,1,29.4,0
23,23,1,30.8,0
24,24,1,32.2,0
25,25,1,33.6,0
26,28,1,37.8,0
27,29,1,39.2,0
28,30,1,40.6,0
29,31,1,42,0
30,32,1,43.4,0
31,33,1,44.8,0
32,34,1,46.2,0
33,35,1,47.6,0
34,36,1,49,0
35,37,1,50.4,0
36,38,1,51.8,0
37,39,1,53.2,0
38,40,1,54.6,0
39,41,1,56,0
40,42,1,57.4,0
41,43,1,58.8,0
42,44,1,60.2,0
43,45,1,61.6,0
44,46,1,63,0
45,47,1,64.4,0
46,48,1,65.8,0
47,49,1,67.2,0
48,50,1,68.6,0
49,51,1,70,0
50,52,1,71.4,0
51,1,2,0,0.9
52,2,2,1.4,0.9
53,3,2,2.8,0.9
54,4,2,4.2,0.9
55,5,2,5.6,0.9
56,6,2,7,0.9
57,7,2,8.4,0.9
58,8,2,9.8,0.9
59,9,2,11.2,0.9
60,10,2,12.6,0.9
61,11,2,14,0.9
62,12,2,15.4,0.9
63,13,2,16.8,0.9
64,14,2,18.2,0.9
65,15,2,19.6,0.9
66,16,2,21,0.9
67,17,2,22.4,0.9
68,18,2,23.8,0.9
69,19,2,25.2,0.9
70,20,2,26.6,0.9
71,21,2,28,0.9
72,22,2,29.4,0.9
73,23,2,30.8,0.9
74,24,2,32.2,0.9
75,25,2,33.6,0.9
76,28,2,37.8,0.9
77,29,2,39.2,0.9
78,30,2,40.6,0.9
79,31,2,42,0.9
80,32,2,43.4,0.9
81,33,2,44.8,0.9
82,34,2,46.2,0.9
83,35,2,47.6,0.9
84,36,2,49,0.9
85,37,2,50.4,0.9
86,38,2,51.8,0.9
87,39,2,53.2,0.9
88,40,2,54.6,0.9
89,41,2,56,0.9
90,42,2,57.4,0.9
91,43,2,58.8,0.9
92,44,2,60.2,0.9
93,45,2,61.6,0.9
94,46,2,63,0.9
95,47,2,64.4,0.9
96,48,2,65.8,0.9
97,49,2,67.2,0.9
98,50,2,68.6,0.9
99,51,2,70,0.9
100,52,2,71.4,0.9
101,1,3,0,4.3
102,2,3,1.4,4.3
103,3,3,2.8,4.3
104,4,3,4.2,4.3
105,5,3,5.6,4.3
106,6,3,7,4.3
107,7,3,8.4,4.3
108,8,3,9.8,4.3
109,9,3,11.2,4.3
110,10,3,12.6,4.3
111,11,3,14,4.3
112,12,3,15.4,4.3
113,13,3,16.8,4.3
114,14,3,18.2,4.3
115,15,3,19.6,4.3
116,16,3,21,4.3
117,17,3,22.4,4.3
118,18,3,23.8,4.3
119,19,3,25.2,4.3
120,20,3,26.6,4.3
121,21,3,28,4.3
122,22,3,29.4,4.3
123,23,3,30.8,4.3
124,24,3,32.2,4.3
125,25,3,33.6,4.3
126,28,3,37.8,4.3
127,29,3,39.2,4.3
128,30,3,40.6,4.3
129,31,3,42,4.3
130,32,3,43.4,4.3
131,33,3,44.8,4.3
132,34,3,46.2,4.3
133,35,3,47.6,4.3
134,36,3,49,4.3
135,37,3,50.4,4.3
136,38,3,51.8,4.3
137,39,3,53.2,4.3
138,40,3,54.6,4.3
139,41,3,56,4.3
140,42,3,57.4,4.3
141,43,3,58.8,4.3
142,44,3,60.2,4.3
143,45,3,61.6,4.3
144,46,3,63,4.3
145,47,3,64.4,4.3
146,48,3,65.8,4.3
147,49,3,67.2,4.3
148,50,3,68.6,4.3
149,51,3,70,4.3
150,52,3,71.4,4.3
151,1,4,0,5.2
152,2,4,1.4,5.2
153,3,4,2.8,5.2
154,4,4,4.2,5.2
155,5,4,5.6,5.2
156,6,4,7,5.2
157,7,4,8.4,5.2
158,8,4,9.8,5.2
159,9,4,11.2,5.2
160,10,4,12.6,5.2
161,11,4,14,5.2
162,12,4,15.4,5.2
163,13,4,16.8,5.2
164,14,4,18.2,5.2
165,15,4,19.6,5.2
166,16,4,21,5.2
167,17,4,22.4,5.2
168,18,4,23.8,5.2
169,19,4,25.2,5.2
170,20,4,26.6,5.2
171,21,4,28,5.2
172,22,4,29.4,5.2
173,23,4,30.8,5.2
174,24,4,32.2,5.2
175,25,4,33.6,5.2
176,28,4,37.8,5.2
177,29,4,39.2,5.2
178,30,4,40.6,5.2
179,31,4,42,5.2
180,32,4,43.4,5.2
181,33,4,44.8,5.2
182,34,4,46.2,5.2
183,35,4,47.6,5.2
184,36,4,49,5.2
185,37,4,50.4,5.2
186,38,4,51.8,5.2
187,39,4,53.2,5.2
188,40,4,54.6,5.2
189,41,4,56,5.2
190,42,4,57.4,5.2
191,43,4,58.8,5.2
192,44,4,60.2,5.2
193,45,4,61.6,5.2
194,46,4,63,5.2
195,47,4,64.4,5.2
196,48,4,65.8,5.2
197,49,4,67.2,5.2
198,50,4,68.6,5.2
199,51,4,70,5.2
200,52,4,71.4,5.2
