"","Name","LineName_J","LineName_E","plotW1","plotW2","plotW3","plotW4"
"1","GmWMC001","Fiskeby V","FISKEBY V","W1-154","W2-040","W3-153","W4-088"
"2","GmJMC002","早生黒大豆","WASE KURO DAIZU","W1-142","W2-128","W3-185","W4-074"
"3","GmJMC003","夏鞍掛","NATSU KURAKAKE","W1-061","W2-160","W3-069","W4-087"
"4","GmJMC004","北白","KITAJIRO","W1-122","W2-185","W3-056","W4-154"
"5","GmJMC005","早生大袖 （鹿追，伊東）","WASEOUSODE (SHIKAOI ITOH)","W1-010","W2-049","W3-165","W4-146"
"6","GmWMC006","KS 1034","KS 1034","W1-009","W2-165","W3-152","W4-039"
"7","GmJMC007","十勝長葉","TOKACHI NAGAHA","W1-160","W2-097","W3-016","W4-137"
"8","GmJMC008","金川早生","KANAGAWA WASE","W1-002","W2-145","W3-116","W4-116"
"9","GmJMC009","静内大豆","SHIZUNAIDAIZU","W1-020","W2-016","W3-195","W4-111"
"10","GmWMC010","大白眉","DA BAI MEI","W1-117","W2-018","W3-159","W4-095"
"11","GmWMC011","青太","SEITA","W1-147","W2-175","W3-044","W4-118"
"12","GmWMC012","満州","MANSHUU","W1-125","W2-119","W3-057","W4-191"
"13","GmJMC013","地塚茨城1号","CHIZUKA IBARAKI 1","W1-041","W2-132","W3-007","W4-001"
"14","GmWMC014","KLS 203","KLS 203","W1-037","W2-033","W3-174","W4-172"
"15","GmWMC015","忠北2","CHUUHOKU 2","W1-130","W2-127","W3-138","W4-014"
"16","GmJMC016","十石","JUKKOKU","W1-118","W2-117","W3-146","W4-033"
"17","GmJMC017","砂丘青豆","SAKYUU AO MAME","W1-013","W2-131","W3-042","W4-152"
"18","GmWMC018","裏外青豆","RIGAI SEITOU","W1-129","W2-081","W3-156","W4-149"
"19","GmWMC019","朝鮮種 （茶）","CHOUSENSHU (CHA)","W1-069","W2-001","W3-186","W4-168"
"20","GmWMC020","POCHAL","POCHAL","W1-085","W2-038","W3-014","W4-184"
"21","GmJMC021","大谷地2号","OOYACHI 2","W1-074","W2-027","W3-154","W4-047"
"22","GmWMC022","鼠目太","NEZUMI META","W1-105","W2-138","W3-189","W4-008"
"23","GmJMC023","黒五葉","KUROGOYOU","W1-169","W2-080","W3-081","W4-115"
"24","GmWMC024","CHIENEUM KONG","CHIENEUM KONG","W1-031","W2-004","W3-013","W4-017"
"25","GmJMC025","エンレイ","ENREI","W1-024","W2-055","W3-019","W4-107"
"26","GmJMC026","鬼裸","ONI HADAKA","W1-193","W2-197","W3-073","W4-189"
"27","GmWMC027","モヤシマメ","KONGNAMUL KONG","W1-104","W2-181","W3-004","W4-134"
"28","GmJMC028","小糸在来","KOITO ZAIRAI","W1-165","W2-110","W3-122","W4-025"
"29","GmWMC029","白蔬太","SHIROSOTA","W1-108","W2-153","W3-095","W4-049"
"30","GmJMC030","黒大豆 （青ヒグー中）","KURODAIZU (AO HIGUU CHUU)","W1-078","W2-065","W3-151","W4-121"
"31","GmJMC031","白三ツ豆","SHIRO MITSU MAME","W1-110","W2-032","W3-111","W4-040"
"32","GmJMC032","納豆小粒","NATTOU KOTSUBU","W1-175","W2-084","W3-083","W4-057"
"33","GmJMC033","晩生光黒","BANSEI HIKARIKURO","W1-137","W2-082","W3-076","W4-077"
"34","GmJMC034","ミヤギシロメ","MIYAGISHIROME","W1-029","W2-112","W3-145","W4-132"
"35","GmWMC035","北京大黄豆","PEKIN DAI OUTOU","W1-007","W2-061","W3-061","W4-139"
"36","GmWMC036","秣食豆公502号","MASSHOKUTOU (KOU 502)","W1-015","W2-143","W3-187","W4-032"
"37","GmJMC037","八雲目赤","YAKUMO MEAKA","W1-198","W2-177","W3-149","W4-007"
"38","GmWMC038","一寓峰","ICHIGUUHOU","W1-073","W2-070","W3-003","W4-099"
"39","GmJMC039","ナッツトウマメ","NATTOUMAME","W1-178","W2-025","W3-031","W4-005"
"40","GmJMC040","鯉渕村在来","KOIBUCHIMURA ZAIRAI","W1-127","W2-013","W3-026","W4-131"
"41","GmJMC041","伊達茶豆","DATE CHA MAME","W1-098","W2-116","W3-046","W4-013"
"42","GmWMC042","秣食豆公503号","MASSHOKUTOU (KOU 503)","W1-188","W2-172","W3-052","W4-108"
