,plant_0904_1445_W1W4_plantArea
W1-001,7249.0
W1-002,1687.0
W1-003,5527.0
W1-004,6948.0
W1-005,7754.0
W1-006,6070.0
W1-007,5668.0
W1-008,6691.0
W1-009,4594.0
W1-010,4279.0
W1-011,6418.0
W1-012,6726.0
W1-013,5422.0
W1-014,3876.0
W1-015,2994.0
W1-016,7643.0
W1-017,7198.0
W1-018,5983.0
W1-019,3734.0
W1-020,4563.0
W1-021,5398.0
W1-022,5909.0
W1-023,8002.0
W1-024,6282.0
W1-025,5326.0
W1-026,3995.0
W1-027,7545.0
W1-028,4964.0
W1-029,5233.0
W1-030,3487.0
W1-031,4988.0
W1-032,5680.0
W1-033,5989.0
W1-034,5220.0
W1-035,3151.0
W1-036,790.0
W1-037,3277.0
W1-038,5722.0
W1-039,6429.0
W1-040,2785.0
W1-041,4179.0
W1-042,6182.0
W1-043,2764.0
W1-044,10194.0
W1-045,7330.0
W1-046,8324.0
W1-047,5289.0
W1-048,9393.0
W1-049,5149.0
W1-050,9812.0
W1-051,6429.0
W1-052,9274.0
W1-053,7622.0
W1-054,5801.0
W1-055,6017.0
W1-056,6268.0
W1-057,8105.0
W1-058,3732.0
W1-059,8064.0
W1-060,8887.0
W1-061,3534.0
W1-062,6904.0
W1-063,9566.0
W1-064,7371.0
W1-065,9360.0
W1-066,7214.0
W1-067,7269.0
W1-068,5543.0
W1-069,3862.0
W1-070,10127.0
W1-071,8066.0
W1-072,2106.0
W1-073,3349.0
W1-074,5247.0
W1-075,5429.0
W1-076,6036.0
W1-077,3501.0
W1-078,3490.0
W1-079,5842.0
W1-080,9024.0
W1-081,6715.0
W1-082,7067.0
W1-083,5185.0
W1-084,3470.0
W1-085,603.0
W1-086,6147.0
W1-087,7684.0
W1-088,8131.0
W1-089,5725.0
W1-090,4647.0
W1-091,3214.0
W1-092,8235.0
W1-093,9562.0
W1-094,6118.0
W1-095,7537.0
W1-096,7451.0
W1-097,7199.0
W1-098,4157.0
W1-099,8278.0
W1-100,6910.0
W1-101,6301.0
W1-102,7255.0
W1-103,6696.0
W1-104,4993.0
W1-105,4460.0
W1-106,4505.0
W1-107,4376.0
W1-108,5459.0
W1-109,4744.0
W1-110,5504.0
W1-111,5802.0
W1-112,4211.0
W1-113,4528.0
W1-114,4400.0
W1-115,824.0
W1-116,6133.0
W1-117,1204.0
W1-118,4230.0
W1-119,4891.0
W1-120,3991.0
W1-121,5387.0
W1-122,2270.0
W1-123,4617.0
W1-124,3131.0
W1-125,3361.0
W1-126,3099.0
W1-127,4589.0
W1-128,4283.0
W1-129,587.0
W1-130,4184.0
W1-131,5225.0
W1-132,4663.0
W1-133,3457.0
W1-134,1707.0
W1-135,4351.0
W1-136,5087.0
W1-137,3644.0
W1-138,5490.0
W1-139,5239.0
W1-140,7584.0
W1-141,6707.0
W1-142,1795.0
W1-143,3041.0
W1-144,4431.0
W1-145,3754.0
W1-146,3802.0
W1-147,3253.0
W1-148,3801.0
W1-149,4385.0
W1-150,7206.0
W1-151,8389.0
W1-152,6598.0
W1-153,4207.0
W1-154,2429.0
W1-155,9192.0
W1-156,11219.0
W1-157,8194.0
W1-158,9684.0
W1-159,10519.0
W1-160,7395.0
W1-161,12146.0
W1-162,11528.0
W1-163,12465.0
W1-164,9527.0
W1-165,11583.0
W1-166,12372.0
W1-167,11880.0
W1-168,11621.0
W1-169,11078.0
W1-170,11281.0
W1-171,10254.0
W1-172,6662.0
W1-173,8559.0
W1-174,8872.0
W1-175,6853.0
W1-176,10478.0
W1-177,6860.0
W1-178,9203.0
W1-179,10141.0
W1-180,9666.0
W1-181,6414.0
W1-182,2722.0
W1-183,4565.0
W1-184,5278.0
W1-185,10657.0
W1-186,11928.0
W1-187,9027.0
W1-188,5050.0
W1-189,10442.0
W1-190,9380.0
W1-191,8618.0
W1-192,3733.0
W1-193,4529.0
W1-194,8247.0
W1-195,7814.0
W1-196,5802.0
