"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W1-001","GmWMC152","W1",1,1,51.755,1673.5,1409,3099.75,1275,23024,8899.75,0.314233460862447,0.702778771229366,0.119119424813191,0.64163622025915,50.3676498678613
"W1-002","GmJMC008","W1",2,0,10.43,389.5,6042,8023.25,4297.5,35945,9792.75,0.21092729462923,0.299589376771161,-0.0678627403880529,0.406180477381288,-67.7566148906251
"W1-003","Tachiutaka","W1",3,0,30.815,1152,3412,4755.75,2386,26303,9144.5,0.224839596983601,0.493873830953353,0.0559054688308491,0.521980650279946,20.3406262271124
"W1-004","GmWMC185","W1",4,1,56.985,1708,1738,3673.75,1536,23091,8415.5,0.310558626144299,0.666710509853495,0.0876360539462502,0.614790176645913,36.4450180685893
"W1-005","GmJMC110","W1",5,0,56.515,2060.5,1574,3254,1282,23618,9077.75,0.334595432557906,0.724329015574119,0.108706974140539,0.650322638867687,47.2132134493702
"W1-006","GmJMC053","W1",6,0,30.375,1365,3104,4678,2390,26941,9123.5,0.237791125211613,0.499591805198556,0.0373304101947235,0.522023509335571,8.65742649737441
"W1-007","GmWMC035","W1",7,0,26.905,1363.25,2476,4136.5,1891,25775,9346,0.275178833589421,0.588958413002259,0.0658598614387768,0.581332014373784,24.8322241002054
"W1-008","GmJMC059","W1",8,0,55.13,1605.5,1556,2904.5,1320.5,23469.5,9291.25,0.276586996343787,0.717606003945946,0.125017279505456,0.65454483344559,56.580608650029
"W1-009","GmWMC006","W1",9,0,44.67,1153.5,3740,4870,2455,27092,9287.5,0.225606472672431,0.485861929077809,0.0383119230099404,0.518294941422717,8.83929286965527
"W1-010","GmJMC005","W1",10,0,36.115,998.25,2477.5,3942,1800.5,26495,9546.5,0.265924246588942,0.629988918915857,0.0719429725637232,0.609001116480369,28.4920424158313
"W1-011","C1322","W1",11,0,54.495,1587.5,1853.5,3214,1462,23209,8982.25,0.277598305487495,0.685861502515351,0.110488083516157,0.634315886080354,48.0263150396015
"W1-012","GmJMC068","W1",12,0,46.205,1545.25,1726,3096.5,1366,22963,9187,0.290443370714688,0.707767579436952,0.125423117170051,0.641904023871899,56.9437672774382
"W1-013","GmJMC017","W1",13,0,33.085,1265.5,1726,3362.5,1433,24414.5,9265.25,0.306567000724196,0.709948922763311,0.115909055122517,0.652837107971077,57.1687702500675
"W1-014","GmJMC052","W1",14,0,35.27,944.25,2864,4575,2188,27480,9876.5,0.259603137812622,0.579482492372941,0.074827769566629,0.558441255027852,33.9096392084356
"W1-015","GmWMC036","W1",15,0,15.63,667.25,2550,4284.5,1915,27349,9677,0.270017954548302,0.556795584294069,0.0446254365254394,0.593478771519788,10.4316237537605
"W1-016","GmJMC077","W1",16,0,48.835,1752.5,1466,3090.25,1275,24070,9484,0.325538965284033,0.737567721237143,0.137298088990644,0.669404889253673,67.8045444653842
"W1-017","GmWMC164","W1",17,0,65.95,1560.25,1434,3230.5,1276,23350,9046,0.346555952371122,0.725671809913826,0.105672973027889,0.667925085430768,42.3462332112553
"W1-018","GmWMC072","W1",18,0,57.475,1434.25,2063,3850.5,1708,25567,9649,0.284659965498718,0.651072984731457,0.104512484309567,0.600642618845247,44.4441623870929
"W1-019","GmWMC086","W1",19,0,30.355,861,4684.5,6314.75,3450.5,30756,10151.5,0.195752961841178,0.408537755455686,0.0340427681159,0.434136124429015,9.12681206420467
"W1-020","GmJMC009","W1",20,0,18.535,947.75,3516,5172.5,2585,29143,9904,0.227660196379906,0.508353920581638,0.0458027902146762,0.52197181559304,15.2036686401448
"W1-021","GmWMC148","W1",21,1,36.33,1225.25,2117,4140.5,1658,27521,9607,0.32921048993828,0.672946327152446,0.0676056992965317,0.632052857665287,26.6166797069866
"W1-022","GmWMC094","W1",22,0,34.1,1220.25,2793,4284.5,2008,25376,8503.5,0.248873656667312,0.518997678472199,0.0503630702140078,0.561492259725298,14.5961712162097
"W1-023","GmWMC135","W1",23,0,91.095,1916,1391,2979.25,1267,21127,8246.75,0.29633229610842,0.69123299136304,0.135403138000869,0.61443884493926,56.0576289647428
"W1-024","GmJMC025","W1",24,0,57.995,1510.25,2117,3630.5,1679,23190,8869,0.26316432477874,0.629138591133339,0.115637373737236,0.586233952648711,53.3736116377341
"W1-025","GmJMC061","W1",25,0,52.11,1290.75,1807,3520.5,1531,23177,8859.5,0.296561733228761,0.665943468787359,0.120892711654651,0.604602018016216,57.710280428546
"W1-026","GmJMC133","W1",26,0,62.25,1618,2948,4401.75,2246.5,23665,8059,0.245221776574811,0.501308898161423,0.0763620942088803,0.50697546108002,30.4061068659273
"W1-027","GmJMC111","W1",27,0,67.29,1754,1644,3277.5,1416.5,22760.5,9158.25,0.303155675807175,0.697465089191394,0.14404789881002,0.630799314477014,67.8377352542753
"W1-028","GmWMC138","W1",28,0,42.36,1102.25,1355,3254,1217,23614,9289.5,0.373218738225095,0.74198591816878,0.129039134782545,0.686443959123791,63.1120726178222
"W1-029","GmJMC034","W1",29,0,60.06,1264.75,1525,2751,1285,20518,8747.5,0.272804490913568,0.724227227734378,0.171420321383727,0.639879220582857,81.4659071184174
"W1-030","GmWMC084","W1",30,0,35.405,858,1846,3237.25,1438.5,21977.5,8574.5,0.29559350319837,0.682754636524672,0.128909002389874,0.624946792995955,58.5968416282323
"W1-031","GmWMC024","W1",31,0,45.38,1193,1925,3382.5,1518,21980,8512,0.291526491759806,0.660830027906523,0.120558817183266,0.602954839123967,56.3559526078307
"W1-032","GmJMC049","W1",32,0,33.915,1107.75,1988,3643,1643,22645,8723,0.281027746343134,0.628519603075043,0.123202698159263,0.578966152450331,54.3140378165828
"W1-033","GmWMC165","W1",33,0,61.99,1301,1782.5,3375.75,1486.5,21802,8380.5,0.296880786365149,0.649006421363334,0.119793314233623,0.589446451454399,52.0691492960149
"W1-034","GmWMC176","W1",34,1,46.54,1119.75,1503,3252,1254,22783,8635.5,0.364017254666061,0.722142157115659,0.113161420560858,0.666708825696518,49.8864937943931
"W1-035","GmWMC189","W1",35,1,27.525,695.25,3563,5806.5,2675,28226,8737,0.270988510490929,0.454384731177329,0.0285640250374561,0.484879431064914,6.6538199849153
"W1-036","GmJMC090","W1",36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-037","GmWMC014","W1",37,0,58.325,1489,1878.5,3375.5,1449,21576,8474.25,0.301200129808662,0.683828112986553,0.144610773337345,0.618752592331628,65.8024398536162
"W1-038","GmWMC146","W1",38,1,52.13,1236.25,2009,3844,1577,23540,8812.5,0.331836908348638,0.674050735989286,0.109024546291011,0.624216590774895,49.2638333741727
"W1-039","GmJMC099","W1",39,0,23.46,1290.5,2855.5,4618.25,2169.5,24971.5,8933,0.264081758572182,0.543116020092131,0.0943856581921815,0.518216853289384,44.9527945110535
